reviews,ratings
Best,5
"Best phone to get...
You will never regret the amount your paying.
Great performance, ultimate camera, fast storage, killer looks and what not, you just cannot stop staring it at..
Worth the price",5
"My frist flagship .
And this is awsm",5
Beast 🔥🔥,5
Excellent,5
"I was very loyal customer of Samsung product Every year I purchase highernd Samsung phone Even i use lots of other products, this phone is awesome",3
Fentasic design and speed...,5
Excellent,4
Great phone,5
"Battery drain very fast
Also heating issues with this mobile
And flipkart service pathetic
Plz don't waste your money",1
Good experience.,5
Good,5
Good phone to have.,5
Excellent phone 👌👌👌👌👌,5
"Good buy

Writing review after 15 days of usage..

Awesome Flagship phone from Samsung. When it come to note series the best thing is S-pen, 9 ms response, is just impressive, the best feature..

Second is camera, great quality of photos and videos 50x zoom is fair enough, meanwhile the camera patch on the back of the Note 20 Ultra can be deal breaker if u are not using a backcover..

Crystal crisp 120 Hz display..both QHD & 120 Hz modes are spectacular to watch..

Waiting for an update for better battery life with exynos 990 (why no snapdragon to India)

Overall good experience so far

Pros
Dynamic 6.9-inch 120Hz display
Smoother S Pen performance
Bixby routine, focus mode and smart pop-up are usefull
Powerful 50x zoom camera and laser autofocus

Cons
Expensive
Camera bump is pretty big
Curved display can annoy at times when using S-pen",5
"Best Phone of my, Fabulous and best in the Market.",5
Battery heate all very good,4
Better than note 10plus which I was using before .. mystic bronze looks great,5
"Its the best phone on earth
Feels great
Looks great
Works great
After 1 month reviews",5
I love thiss phone more than 1000 times,5
Camera is not as good as compare to Vivo X50 Pro. Rest is ok.,4
Awesome mobile,5
"One of the best mobile i have ever used.
Great Performance",5
Superb smartphone 👌👌👌👌👌,5
Very nice,5
"Just mind blowing performance and the best ever Samsung Flagship phone !!

SAMSUNG GALAXY NOTE 20 ULTRA 5G ROCKS !!

AFTER SAMSUNG GALAXY S9 PLUS MOVED NOW TO NOTE 20 ULTRA 5G BOTH ARE TERRIFIC :)

Bought this phone on September 23rd 2020 its just amazing

Prasad Stephen from Bangalore",5
"I review this phone after 20 days of use...
Awesome phone...... Great bundle of extraordinary things like--Display,Camera,Sound,Speed...
120 hrtzz display is superb and S-Pen is the most lovable stuff in this phone......
Love this Phone....
N most important,,samsumg must need improvement in Battery Department.....",5
Overall nice mobile but too costly.,4
The Awesome beast.. absolute fantastic.,5
Samsung Note20 Ultra Gives A Gorgeous Looks And Sound Turns Right And Left!!! And My Favorite S Pen Is Superb!!!,5
"I have been waiting for this phone since long but finally after getting it,it felt awesome.The precision,the look,the experience is all it is about.",5
"Powerhouse

Certainly the best android phone out there. Could easily double up as a computer. Smooth 120Hz refresh rate goes well with Samsung's best-in-class display panel. However, getting Exynos 990 instead of the top-of-the-line Snapdragon 865+ in the Indian market is a bummer, and battery life could be an issue for heavy users.",5
"1. Camera - 5/5
2. Performance - 5/5
3. Battery backup - 4/5
4. S - Pen - 5/5
5. Heating issues - Sometimes.",5
"Note 20 Ultra 5G was a big wait.
Smartphone is very good in look and also love the camera bump.
All 10/10

Only battery is not so good early drain for heavy users.
Anyways purchased a wireless powerbank with it gives 14500 mAh. Battery together. Must buy.

No clues how to redeem E-Shop voucher. Please share knowledge.",5
Best of de best....,5
"Pros :

Display - best display on any smartphone on the planet. 5/5

Camera - the camera is fantastic. Lot of features to explore. Doesn't disappoint in any lighting condition. 5/5

Features - Overloaded with all features you would ever need on a smartphone. The average user might not use many features. But good to have thinks like spen, gestures, dex, reverse wireless charging, ip68,etc. 5/5

Performance - 99% of the times butter smooth. Noticed lag sometimes on multitasking. 4/5


Cons :

Heating : Phone gets warm with normal usage. Phone got hot with heavy usage. Overall, cooling system could have been better.

Battery : battery drain is real. Exynos SOT is 4-5 hours tops. Heavy users will need to charge twice a day.

Verdict :

For a 1L phone, it is packed with all features you will ever need on a smartphone. Exynos 990 is inferior compared to the snapdragon 865+ chipset which is a point of concern. Battery life could have been better. If you are a power user and plan to use this phone for official use, the features are unparalleled. If you are an average user, better wait for the 2021 Galaxy S series or the iPhone 12 series.

P.S - Seamlessly pairs with Galaxy watch 3.",4
